1000 5000
249 250 2943
443 607 1643
124 597 3781
1 213 5752
652 885 1303
457 458 3560
1 444 1021
1 529 6852
347 688 9435
1 908 2429
2 3 8340
2 16 7556
491 605 9031
904 905 6040
2 356 6677
176 177 2720
2 752 9536
29 110 4859
406 422 8904
3 569 7111
652 741 7767
270 389 206
888 889 6576
256 362 4371
677 678 7216
570 667 8761
4 153 3964
364 856 2220
314 363 1668
4 443 258
4 755 70
447 660 3884
473 624 7556
457 732 4516
361 815 1696
408 865 3636
69 70 5678
280 883 2529
64 230 3137
111 112 6701
5 604 2405
249 663 8200
95 928 6202
6 7 529
99 684 2508
34 825 9914
6 412 7853
682 683 2138
760 761 8227
723 724 8074
41 42 2976
38 743 9435
7 102 2405
170 453 404
130 525 3422
7 669 3086
815 995 3345
233 766 1312
7 805 1023
736 737 6222
191 658 6184
8 54 1398
8 126 6602
8 285 8551
214 997 8887
831 832 2515
285 994 536
213 289 7690
576 577 2565
437 600 9197
615 616 8154
914 915 1541
684 991 2078
217 557 7572
206 751 5341
9 225 3426
9 228 8322
814 908 8746
88 100 7629
405 406 3199
9 620 920
30 828 4820
9 194 472
783 784 3902
222 759 9351
10 133 5777
836 881 7381
899 975 1022
562 707 1206
183 857 9243
646 647 7269
445 1000 7753
11 12 705
582 829 5819
607 939 4472
115 116 7343
456 457 2783
12 13 6914
210 493 8515
12 515 8068
492 504 1395
249 990 693
784 785 7345
372 918 2981
178 519 2448
590 630 2920
150 751 1287
292 837 7857
13 137 2608
13 155 6783
482 520 9757
290 945 2213
13 253 7942
13 412 7841
399 896 2425
367 759 3464
60 291 9635
553 875 8654
13 888 1806
190 633 777
928 929 4582
14 413 4482
245 719 4037
14 728 4838
494 495 2119
379 380 1050
313 944 7594
195 653 5646
15 771 4054
15 848 8087
231 583 3323
450 492 3288
55 649 335
886 963 704
99 588 8909
16 119 150
16 132 8161
578 672 4029
406 457 8416
16 566 5493
345 346 239
49 331 6530
750 966 6611
16 975 6406
448 946 4743
218 494 6216
